,path,remedies,num_remedies
12,MIND - WORK - aversion to mental," Acet-ac.(1), Acon.(2), Act-sp.(1), Aesc.(1), Agar.(1), Aloe(3), Alum.(1), Alumn.(1), Alum-sil.(1), Anac.(1), Atro.(1), Aur.(1), Aur-m.(1), Bapt.(3), Bar-c.(1), Bar-s.(1), Bell.(1), Brom.(1), Buf-s.(1), Cadm-s.(1), Cain.(1), Calc.(2), Calc-p.(1), Calc-s.(1), Cann-i.(1), Carb-ac.(2), Carb-an.(1), Carb-v.(1), Carl.(2), Cham.(1), Chel.(3), Chin.(3), Chinin-ar.(2), Chinin-s.(1), Cinnb.(1), Clem.(1), Cob.(1), Colch.(2), Coloc.(1), Con.(1), Corn.(1), Cycl.(1), Dulc.(1), Echi.(1), Equis.(1), Fago.(1), Ferr.(2), Ferr-p.(1), Gels.(2), Grat.(1), Ham.(2), Hep.(1), Hipp.(1), Hydr.(1), Hyos.(1), Hyper.(1), Ind.(1), Ip.(1), Kali-bi.(2), Kali-n.(1), Kali-s.(1), Kalm.(1), Lac-d.(1), Lach.(2), Lec.(3), Lil-t.(2), Lyc.(2), Mag-m.(1), Mag-p.(1), Med.(1), Meph.(1), Merl.(1), Mur-ac.(1), Nat-ar.(1), Nat-m.(2), Nit-ac.(2), Nux-v.(3), Olnd.(1), Op.(1), Pall.(1), Par.(1), Petr.(1), Ph-ac.(3), Phos.(3), Phyt.(3), Pic-ac.(2), Plan.(1), Plat.(1), Plb.(1), Ptel.(1), Puls.(2), Ran-s.(1), Raph.(1), Rhus-t.(2), Rumex(1), Sanic.(1), Scut.(1), Sep.(2), Sil.(2), Sol-nig.(1), Spig.(1), Squil.(1), Staph.(2), Sulph.(2), Teucr.(1), Thea(1), Ther.(1), Thuja(2), Thyr.(3), Tub.(1), Valer.(1), Viol-o.(1), Viol-t.(1)",113
13,MIND - WORK - aversion to mental - afternoon, Hyos.(1),1
14,MIND - WOMEN - aversion to her own sex, Raph.(2),1
15,MIND - WOMEN - aversion to," Am-c.(1), Bapt.(1), Con.(1), Dios.(2), Lach.(2), Lyc.(3), Nat-m.(1), Puls.(2), Sulph.(1)",9
16,MIND - WITTY," Aeth.(1), Alco.(1), Aran-ix.(1), Cann-i.(1), Caps.(1), Chlol.(1), Cocc.(1), Coff.(2), Croc.(1), Hydr.(1), Lach.(2), Op.(2), Spong.(1), Sumb.(1), Thea(1), Verat.(1)",16
17,"MIND - WILL - two, feels as if he had two wills"," Anac.(4), Anh.(1), Lach.(2), Naja(1)",4
18,MIND - WILL - muscles refuse to obey the will when attention is turned away, Hell.(2),1
19,MIND - WILL - loss of will power," Agar.(2), Anac.(1), Ang.(1), Anh.(1), Cann-i.(1), Kali-sil.(1), Merc.(1), Onos.(1), Op.(1), Petr.(1), Pic-ac.(1)",11
20,MIND - WILL - contradiction of," Acon.(1), Anac.(3), Caps.(1), Naja(1), Sep.(1)",5
21,MIND - WILDNESS," Acon.(1), Ant-t.(1), Bapt.(1), Bell.(1), Calc-p.(1), Camph.(1), Canth.(1), Croc.(1), Cupr.(1), Hyos.(1), Med.(1), Mosch.(1), Nat-s.(1), Op.(1), Petr.(1), Ph-ac.(1), Phos.(1), Stram.(2), Tarent.(1), Verat.(2)",20
22,"MIND - WILDNESS - vexation, from", Ph-ac.(1),1
23,MIND - WILDNESS - unpleasant news, Calc-p.(1),1
24,"MIND - WILDNESS - trifles, at", Ign.(1),1
25,"MIND - WILDNESS - pain in head (headache), during", Bapt.(1),1
26,"MIND - WILDNESS - bright light, odors, etc.", Colch.(2),1
27,MIND - WILDNESS - evening, Croc.(1),1
28,MIND - WILD feeling in head," Bapt.(1), Hell.(2), Lil-t.(1), Med.(2)",4
29,MIND - WICKED disposition," Anac.(1), Cocc.(1), Cur.(1)",3
30,MIND - WHISTLING," Bell.(1), Cann-i.(1), Cann-s.(1), Caps.(1), Carb-an.(1), Croc.(2), Lach.(2), Lachn.(1), Lyc.(2), Merc-i-f.(1), Plat.(2), Stram.(2), Sulph.(2)",13
31,MIND - WHISTLING - involuntary," Carb-an.(1), Lyc.(1)",2
32,"MIND - WHISTLING - fever, during", Caps.(1),1
33,MIND - WELL - says he is - when very sick," Apis(2), Arn.(3), Ars.(1), Cinnb.(1), Hyos.(1), Kreos.(1), Merc.(1), Op.(3), Puls.(1)",9
34,MIND - WELL - feels very well before being worse, Psor.(2),1
35,"MIND - WEEPING, tearful mood, etc."," Absin.(1), Acon.(2), Aeth.(1), Ail.(1), Alum.(2), Ambr.(1), Am-c.(1), Am-m.(2), Amyg.(1), Anan.(1), Ang.(1), Anh.(1), Ant-c.(2), Ant-t.(2), Apis(3), Arg-met.(1), Arg-n.(2), Ars.(1), Ars-i.(1), Arum-m.(1), Asar.(1), Aster.(1), Aur.(2), Aur-ar.(1), Aur-m.(1), Bar-c.(1), Bell.(2), Benz.(1), Berb.(1), Borx.(1), Bry.(2), Bufo(1), Cact.(2), Calc.(3), Calc-p.(2), Calc-s.(3), Camph.(1), Cann-i.(1), Cann-s.(1), Canth.(1), Caps.(1), Carb-an.(1), Carbn-s.(3), Carb-v.(2), Card-m.(1), Carl.(1), Castm.(1), Caust.(3), Cedr.(1), Cham.(2), Chel.(2), Chen-a.(1), Chin.(1), Chinin-ar.(1), Chinin-s.(2), Cic.(3), Cimic.(2), Cina(2), Clem.(1), Cocc.(2), Coff.(2), Colch.(1), Coloc.(1), Con.(2), Cop.(1), Croc.(1), Crot-h.(2), Cupr.(2), Cur.(1), Cycl.(1), Der.(1), Dig.(2), Dros.(1), Dulc.(1), Eup-pur.(1), Ferr.(2), Ferr-ar.(1), Ferr-i.(1), Ferr-p.(1), Gels.(1), Gent-c.(1), Glon.(1), Graph.(3), Hell.(2), Hep.(2), Hura(1), Hyos.(1), Ign.(3), Iod.(2), Ip.(1), Kali-ar.(1), Kali-bi.(2), Kali-br.(3), Kali-c.(2), Kali-i.(1), Kali-n.(1), Kali-p.(2), Kali-s.(1), Lac-c.(3), Lach.(1), Lachn.(1), Lact.(1), Laur.(1), Led.(1), Lil-t.(2), Lith-c.(1), Lob.(1), Lob-s.(1), Lyc.(3), Lyss.(1), Mag-m.(2), Mag-p.(1), Mag-s.(1), Mang.(2), Med.(2), Meli.(2), Meny.(1), Merc.(1), Merc-i-r.(2), Merl.(1), Mez.(1), Mosch.(1), Naja(1), Nat-ar.(1), Nat-c.(1), Nat-m.(3), Nat-p.(2), Nat-s.(2), Nicc.(1), Nit-ac.(2), Nux-m.(2), Nux-v.(2), Op.(1), Pall.(3), Petr.(2), Ph-ac.(2), Phel.(2), Phos.(2), Plat.(3), Plb.(1), Psor.(1), Puls.(4), Ran-b.(1), Rheum(1), Rhus-t.(3), Ruta(1), Sabin.(1), Sars.(1), Sec.(1), Sep.(3), Sil.(1), Sol-nig.(1), Spig.(1), Spong.(2), Squil.(1), Stann.(3), Staph.(2), Stram.(1), Stront-c.(1), Stry.(2), Sul-ac.(2), Sulph.(3), Tab.(1), Tarent.(2), Thuja(1), Til.(1), Ust.(1), Verat.(3), Viol-o.(2), Viol-t.(1), Zinc.(1)",171
36,"MIND - WEEPING, tearful mood, etc. - whimpering"," Aur.(2), Bell.(1), Calc-p.(1), Cham.(2), Hyos.(1), Ign.(1), Merc.(2), Nit-ac.(1), Nux-v.(1), Verat.(1)",10
37,"MIND - WEEPING, tearful mood, etc. - walking in open air, when"," Bell.(1), Calc.(1), Coff.(1), Sep.(2)",4
38,"MIND - WEEPING, tearful mood, etc. - walking in open air, when - amel."," Puls.(2), Rhus-t.(2)",2
39,"MIND - WEEPING, tearful mood, etc. - waking, on"," Alum.(1), Am-c.(1), Am-m.(1), Bell.(1), Bufo(1), Carb-an.(1), Chinin-s.(1), Cina(1), Hyos.(1), Ign.(1), Kali-i.(1), Lach.(1), Lyc.(1), Merc.(1), Nicc.(1), Nux-v.(1), Op.(1), Phos.(1), Plan.(1), Puls.(1), Raph.(1), Sil.(1), Sulph.(1)",23
40,"MIND - WEEPING, tearful mood, etc. - violent"," Hydr-ac.(1), Stram.(1)",2
41,"MIND - WEEPING, tearful mood, etc. - vexation, from"," Ambr.(1), Arn.(1), Bell.(1), Calad.(1), Caust.(1), Cham.(1), Cocc.(1), Coff.(1), Ign.(1), Lac-c.(1), Lil-t.(1), Mosch.(1), Nux-v.(1), Petr.(1), Plat.(1), Puls.(1), Sabin.(1), Spong.(1), Staph.(1), Sulph.(1), Tarent.(1), Zinc.(2)",22
42,"MIND - WEEPING, tearful mood, etc. - urination - before - children", Borx.(1),1
43,"MIND - WEEPING, tearful mood, etc. - trifles, at"," Ant-c.(1), Arg-met.(1), Bufo(1), Calc.(1), Caust.(3), Cina(1), Cocc.(1), Con.(1), Nat-m.(1), Oena.(1), Petr.(1), Puls.(1), Sil.(1), Stram.(1)",14
44,"MIND - WEEPING, tearful mood, etc. - trifles, at - at the least worry, children"," Caust.(2), Lyc.(1), Nit-ac.(1)",3
45,"MIND - WEEPING, tearful mood, etc. - touched, when"," Ant-c.(1), Ant-t.(1), Cham.(3), Cina(1)",4
46,"MIND - WEEPING, tearful mood, etc. - thanked, when", Lyc.(3),1
47,"MIND - WEEPING, tearful mood, etc. - telling - telling of her sickness (story, disease), when"," Camph.(1), Con.(1), Ign.(1), Kali-c.(2), Med.(2), Nat-m.(1), Nit-ac.(1), Puls.(3), Sep.(2), Sil.(1), Staph.(1), Tub.(1)",12
48,"MIND - WEEPING, tearful mood, etc. - symptoms amel."," Anac.(2), Anth.(2), Colch.(1), Cycl.(1), Dig.(2), Gels.(2), Graph.(2), Ign.(1), Lyc.(2), Med.(2), Merc.(1), Nit-ac.(1), Phos.(1), Plat.(2), Puls.(3), Sep.(1), Tab.(1)",17
49,"MIND - WEEPING, tearful mood, etc. - sympathy with others"," Carl.(1), Caust.(1)",2
50,"MIND - WEEPING, tearful mood, etc. - stool - during"," Aeth.(2), Borx.(2), Cham.(2), Cina(1), Phos.(1), Rhus-t.(1), Sil.(1), Sulph.(1)",8
51,"MIND - WEEPING, tearful mood, etc. - stool - before"," Borx.(1), Phos.(1), Puls.(1), Rhus-t.(1)",4
52,"MIND - WEEPING, tearful mood, etc. - spoken to, when"," Ign.(1), Med.(2), Nat-m.(2), Plat.(2), Sil.(1), Staph.(2), Thuja(1)",7
53,"MIND - WEEPING, tearful mood, etc. - spasms, after", Caust.(2),1
54,"MIND - WEEPING, tearful mood, etc. - spasmodic"," Alum.(1), Caust.(3), Ign.(1), Lach.(1)",4
55,"MIND - WEEPING, tearful mood, etc. - sleep, in"," All-s.(1), Alum.(2), Ant-t.(1), Ars.(1), Aur.(2), Bar-c.(1), Bell.(1), Bufo(1), Calc.(1), Calc-p.(2), Camph.(1), Carb-an.(1), Carbn-s.(1), Caust.(2), Cham.(3), Chin.(1), Chinin-s.(1), Cina(1), Con.(2), Cur.(1), Fl-ac.(1), Glon.(1), Graph.(1), Hyos.(2), Ign.(1), Ip.(1), Kali-ar.(1), Kali-c.(2), Kali-i.(1), Kreos.(1), Lach.(2), Lyc.(1), Mag-c.(1), Mag-m.(1), Merc.(2), Nat-m.(2), Nicc.(1), Nit-ac.(2), Nux-v.(2), Op.(2), Phos.(1), Puls.(2), Rheum(1), Rhus-t.(1), Rob.(1), Samb.(2), Sarr.(1), Sil.(2), Spong.(2), Stann.(1), Sulph.(1), Tab.(1), Tarent.(1), Thuja(1)",54
56,"MIND - WEEPING, tearful mood, etc. - sleep, in - good during the day, screaming and restless all night", Jal.(2),1
57,"MIND - WEEPING, tearful mood, etc. - sits and weeps", Ambr.(2),1
58,"MIND - WEEPING, tearful mood, etc. - singing, when", Hura(1),1
59,"MIND - WEEPING, tearful mood, etc. - sad - sad thoughts, at"," Alum.(1), Carb-v.(1), Cina(1), Kali-c.(1), Phel.(1), Plat.(1), Puls.(1), Stram.(1)",8
60,"MIND - WEEPING, tearful mood, etc. - room, in", Plat.(2),1
61,"MIND - WEEPING, tearful mood, etc. - rising, after", Am-c.(1),1
62,"MIND - WEEPING, tearful mood, etc. - remonstrated, when"," Bell.(1), Calc.(1), Ign.(1), Kali-c.(2), Nit-ac.(1), Plat.(1), Staph.(1)",7
63,"MIND - WEEPING, tearful mood, etc. - refused anything, when"," Bell.(1), Cham.(1), Ign.(1)",3
64,"MIND - WEEPING, tearful mood, etc. - reading, while"," Crot-h.(2), Lach.(1)",2
65,"MIND - WEEPING, tearful mood, etc. - pregnancy, during"," Apis(1), Ign.(1), Mag-c.(2), Nat-m.(1), Puls.(3), Sep.(2), Stann.(1)",7
66,"MIND - WEEPING, tearful mood, etc. - poetry, at soothing", Lach.(1),1
67,"MIND - WEEPING, tearful mood, etc. - pitied, if he believes he is", Nat-m.(2),1
68,"MIND - WEEPING, tearful mood, etc. - perspiration, during the"," Acon.(1), Arn.(1), Aur.(1), Bell.(3), Bry.(1), Calc.(2), Calc-s.(1), Camph.(2), Cham.(2), Chin.(1), Cupr.(3), Graph.(1), Lyc.(3), Nux-v.(1), Op.(3), Petr.(2), Phos.(1), Puls.(2), Rheum(1), Rhus-t.(1), Sep.(1), Spong.(2), Stram.(2), Sulph.(1), Verat.(1)",25
69,"MIND - WEEPING, tearful mood, etc. - past events, thinking of", Nat-m.(2),1
70,"MIND - WEEPING, tearful mood, etc. - paroxysmal"," Phos.(1), Stry.(1)",2
71,"MIND - WEEPING, tearful mood, etc. - palpitation, during", Phos.(1),1
72,"MIND - WEEPING, tearful mood, etc. - pains, with the"," Apoc.(2), Cham.(1), Coff.(2), Mez.(1), Plat.(2), Puls.(1)",6
73,"MIND - WEEPING, tearful mood, etc. - pains, with the - during intermission of", Glon.(1),1
74,"MIND - WEEPING, tearful mood, etc. - pain in head (headache), with"," Antipyrin.(1), Coff.(2), Coloc.(1), Kali-c.(2), Kreos.(1), Lyss.(1), Phos.(1), Plat.(1), Ran-b.(1), Sep.(1)",10
75,"MIND - WEEPING, tearful mood, etc. - opposition, at least", Nux-v.(1),1
76,"MIND - WEEPING, tearful mood, etc. - nursing, while"," Lac-c.(2), Puls.(3)",2
77,"MIND - WEEPING, tearful mood, etc. - noise, at"," Aeth.(1), Ign.(1), Kreos.(1), Lach.(2)",4
78,"MIND - WEEPING, tearful mood, etc. - nightmare, after", Guaj.(1),1
79,"MIND - WEEPING, tearful mood, etc. - nervous - feels like crying all the time, but it makes her worse", Stann.(1),1
80,"MIND - WEEPING, tearful mood, etc. - nervous - all day"," Bry.(1), Caust.(1), Lac-c.(1), Lyc.(1), Stram.(1)",5
81,"MIND - WEEPING, tearful mood, etc. - nervous - feels so, she would scream unless she held on to something", Sep.(2),1
82,"MIND - WEEPING, tearful mood, etc. - need, about a fancied", Chin.(1),1
83,"MIND - WEEPING, tearful mood, etc. - music, from"," Ambr.(2), Dig.(1), Graph.(3), Kali-n.(1), Kreos.(2), Nat-c.(2), Nat-s.(1), Nux-v.(1), Thuja(2)",9
84,"MIND - WEEPING, tearful mood, etc. - music, from - piano, of"," Cop.(1), Nat-c.(2)",2
85,"MIND - WEEPING, tearful mood, etc. - music, from - bells, of", Ant-c.(1),1
86,"MIND - WEEPING, tearful mood, etc. - mortification, after"," Coloc.(1), Puls.(1)",2
87,"MIND - WEEPING, tearful mood, etc. - micturition (urination) - during"," Erig.(1), Sars.(2)",2
88,"MIND - WEEPING, tearful mood, etc. - micturition (urination) - before"," Borx.(2), Lyc.(2), Sars.(2)",3
89,"MIND - WEEPING, tearful mood, etc. - menses - after"," Alum.(1), Con.(1), Lyc.(1), Phos.(1), Stram.(2)",5
90,"MIND - WEEPING, tearful mood, etc. - menses - during"," Ars.(2), Cact.(1), Calc.(1), Caust.(1), Cocc.(2), Coff.(2), Con.(1), Cycl.(1), Graph.(1), Hyos.(1), Ign.(2), Ind.(1), Lach.(1), Lyc.(1), Nat-m.(2), Petr.(2), Phos.(1), Phyt.(2), Plat.(2), Puls.(2), Sec.(1), Sep.(1), Stram.(2), Thuja(1), Verat.(1), Zinc.(1)",26
91,"MIND - WEEPING, tearful mood, etc. - menses - during - which does her no good", Cycl.(1),1
92,"MIND - WEEPING, tearful mood, etc. - menses - before"," Cact.(2), Con.(1), Lyc.(2), Nat-m.(1), Nux-v.(2), Phos.(2), Puls.(2), Sep.(1), Stann.(1), Zinc.(2)",10
93,"MIND - WEEPING, tearful mood, etc. - menopause, during", Sulph.(3),1
94,"MIND - WEEPING, tearful mood, etc. - meeting people, when", Aur.(2),1
95,"MIND - WEEPING, tearful mood, etc. - lying, while", Euphr.(1),1
96,"MIND - WEEPING, tearful mood, etc. - looked at, when", Nat-m.(2),1
97,"MIND - WEEPING, tearful mood, etc. - joy, from"," Coff.(2), Lach.(1), Plat.(2), Puls.(1)",4
98,"MIND - WEEPING, tearful mood, etc. - involuntary"," Alum.(2), Aster.(1), Aur.(2), Bell.(2), Cann-i.(2), Caust.(2), Cina(1), Coff.(1), Cupr.(1), Ign.(3), Lach.(1), Merc.(1), Mosch.(1), Nat-m.(3), Phos.(1), Plat.(3), Plb.(1), Puls.(3), Rhus-t.(3), Sep.(3), Stann.(1), Stram.(1), Verat.(1), Viol-o.(1)",24
99,"MIND - WEEPING, tearful mood, etc. - involuntary - amel. by vinegar", Stram.(1),1
100,"MIND - WEEPING, tearful mood, etc. - interrupted, when", Puls.(2),1
101,"MIND - WEEPING, tearful mood, etc. - illness - during", Calad.(1),1
102,"MIND - WEEPING, tearful mood, etc. - hysterical"," Asar.(1), Aur-ar.(1), Aur-i.(1), Ign.(2), Nat-m.(2)",5
103,"MIND - WEEPING, tearful mood, etc. - heat, during the"," Acon.(3), Apis(1), Bell.(3), Bry.(1), Calc.(1), Caps.(2), Cham.(1), Coff.(1), Cupr.(1), Graph.(1), Ign.(1), Ip.(1), Lyc.(2), Petr.(2), Plat.(1), Puls.(3), Spig.(2), Spong.(3), Stram.(2), Sulph.(1), Til.(1), Verat.(1)",22
104,"MIND - WEEPING, tearful mood, etc. - hallucination, after", Dulc.(1),1
105,"MIND - WEEPING, tearful mood, etc. - goes off alone and weeps as if she had no friends", Bar-c.(1),1
106,"MIND - WEEPING, tearful mood, etc. - future, about the", Lyc.(1),1
107,"MIND - WEEPING, tearful mood, etc. - excitement, from (excitable)"," Con.(3), Lach.(3)",2
108,"MIND - WEEPING, tearful mood, etc. - emotion - after slight"," Aster.(1), Kreos.(1), Lyc.(1), Naja(1), Plb.(2)",5
109,"MIND - WEEPING, tearful mood, etc. - emission, after an", Hipp.(1),1
110,"MIND - WEEPING, tearful mood, etc. - eating - after"," Arg-n.(1), Arn.(1), Iod.(1), Mag-m.(1), Puls.(1)",5
111,"MIND - WEEPING, tearful mood, etc. - eating - while", Carb-an.(1),1
112,"MIND - WEEPING, tearful mood, etc. - disturbed at work, when", Puls.(2),1
113,"MIND - WEEPING, tearful mood, etc. - delirium - after", Nat-s.(1),1
114,"MIND - WEEPING, tearful mood, etc. - dark, in", Stram.(1),1
115,"MIND - WEEPING, tearful mood, etc. - coughing - after"," Arn.(1), Bell.(1), Caps.(1), Cina(1), Hep.(1), Op.(1)",6
116,"MIND - WEEPING, tearful mood, etc. - coughing - during"," Ant-t.(1), Arn.(1), Ars.(1), Bell.(2), Cain.(2), Cham.(1), Chin.(1), Cina(2), Hep.(3), Ip.(1), Lyc.(1), Osm.(1), Ph-ac.(1), Samb.(1), Sep.(1), Sil.(1), Spong.(1), Sulph.(1), Verat.(1)",19
117,"MIND - WEEPING, tearful mood, etc. - coughing - before"," Ant-t.(1), Arn.(2), Bell.(3), Borx.(1), Bry.(3), Hep.(3)",6
118,"MIND - WEEPING, tearful mood, etc. - convulsive", Mag-p.(2),1
119,"MIND - WEEPING, tearful mood, etc. - convulsions - during"," Absin.(1), Cham.(1), Cupr.(1), Plb.(1)",4
120,"MIND - WEEPING, tearful mood, etc. - convulsions - after"," Absin.(1), Caust.(1)",2
121,"MIND - WEEPING, tearful mood, etc. - contradiction, from"," Cham.(1), Ign.(1), Nux-v.(1), Stram.(1), Tarent.(1)",5
122,"MIND - WEEPING, tearful mood, etc. - consolation - agg."," Bell.(1), Cact.(1), Calc.(1), Calc-p.(2), Chin.(1), Hell.(1), Ign.(1), Kali-c.(1), Lil-t.(1), Lyc.(1), Merc.(1), Nat-m.(3), Nit-ac.(1), Nux-v.(1), Plat.(2), Sep.(3), Sil.(3), Staph.(1), Sulph.(1), Tarent.(1), Thuja(1)",21
123,"MIND - WEEPING, tearful mood, etc. - chill - during the"," Acon.(1), Ars.(1), Aur.(2), Bell.(3), Calc.(3), Cann-s.(1), Carb-v.(2), Cham.(3), Con.(1), Hep.(1), Ign.(1), Kali-c.(1), Lyc.(3), Merc.(1), Nat-m.(1), Petr.(2), Plat.(1), Puls.(3), Sel.(1), Sil.(1), Stram.(1), Sulph.(1), Verat.(1), Viol-o.(3)",24
124,"MIND - WEEPING, tearful mood, etc. - children, in"," Ant-c.(1), Borx.(1), Cham.(1), Puls.(1), Syph.(2)",5
125,"MIND - WEEPING, tearful mood, etc. - children, in - toss all night"," Psor.(2), Rheum(2)",2
126,"MIND - WEEPING, tearful mood, etc. - children, in - dentition (teething in children), from difficult"," Cham.(3), Phyt.(1)",2
127,"MIND - WEEPING, tearful mood, etc. - causeless"," Acon.(1), Apis(3), Ars.(1), Bell.(1), Camph.(1), Cina(2), Graph.(2), Hura(1), Kali-ar.(1), Kali-br.(1), Kali-c.(1), Kreos.(1), Lyc.(2), Nat-m.(2), Nit-ac.(1), Puls.(3), Staph.(1), Sulph.(3), Tarent.(1), Viol-o.(1), Zinc.(2)",21
128,"MIND - WEEPING, tearful mood, etc. - causeless - without knowing why"," Anthraci.(1), Kali-c.(1), Rhus-t.(3), Sep.(1)",4
129,"MIND - WEEPING, tearful mood, etc. - carried, when", Chel.(1),1
130,"MIND - WEEPING, tearful mood, etc. - carried, when - is quiet only when carried"," Cham.(3), Cina(1)",2
131,"MIND - WEEPING, tearful mood, etc. - carried, when - child cries piteously if taken hold of or carried", Cina(2),1
132,"MIND - WEEPING, tearful mood, etc. - caressing, from"," Chin.(1), Ign.(1)",2
133,"MIND - WEEPING, tearful mood, etc. - cannot weep, though sad"," Aeth.(1), Carc.(1), Gels.(2), Ign.(3), Nat-m.(3), Nux-v.(2), Sep.(2)",7
134,"MIND - WEEPING, tearful mood, etc. - bells, sound of", Ant-c.(1),1
135,"MIND - WEEPING, tearful mood, etc. - avoid, desire to"," Ign.(2), Nat-m.(2)",2
136,"MIND - WEEPING, tearful mood, etc. - answering a question at", Puls.(3),1
137,"MIND - WEEPING, tearful mood, etc. - anger - after"," Arn.(1), Bar-i.(1), Bell.(1), Cham.(2), Nat-m.(1), Nux-v.(2), Plat.(2), Puls.(2)",8
138,"MIND - WEEPING, tearful mood, etc. - anecdotes from", Lach.(2),1
139,"MIND - WEEPING, tearful mood, etc. - alternating with - queer antics", Cupr.(1),1
140,"MIND - WEEPING, tearful mood, etc. - alternating with - laughter"," Acon.(2), Alum.(1), Aur.(2), Bell.(1), Borx.(1), Bov.(1), Calc.(2), Cann-s.(1), Caps.(1), Coff.(2), Con.(1), Graph.(1), Hyos.(2), Ign.(2), Kali-p.(1), Lyc.(2), Merc.(3), Mosch.(1), Nat-m.(1), Nux-m.(3), Nux-v.(1), Phos.(2), Plat.(2), Puls.(2), Samb.(1), Sep.(1), Stram.(2), Sulph.(1), Sumb.(1), Tarent.(1), Valer.(3), Verat.(1), Ziz.(1)",33
141,"MIND - WEEPING, tearful mood, etc. - alternating with - irritability and laughter at trifles", Graph.(1),1
142,"MIND - WEEPING, tearful mood, etc. - alternating with - ill humour"," Bell.(1), Kali-i.(1)",2
143,"MIND - WEEPING, tearful mood, etc. - alternating with - cheerfulness"," Acon.(1), Arg-met.(1), Bell.(1), Borx.(1), Cann-s.(1), Carb-an.(1), Ign.(1), Iod.(1), Plat.(1), Spong.(1)",10
144,"MIND - WEEPING, tearful mood, etc. - aloud"," Alum.(1), Cham.(1), Cic.(1), Coff.(1), Hyos.(1), Lyc.(3), Nat-c.(1), Nat-m.(1), Nux-v.(1), Phos.(1), Plat.(1), Plect.(1), Puls.(1), Sabin.(1), Staph.(1), Sulph.(1)",16
145,"MIND - WEEPING, tearful mood, etc. - alone, when"," Anth.(1), Con.(1), Ign.(1), Nat-m.(2)",4
146,"MIND - WEEPING, tearful mood, etc. - air, in open"," Carb-v.(1), Hura(1)",2
147,"MIND - WEEPING, tearful mood, etc. - air, in open - amel."," Coff.(1), Nat-s.(2), Plat.(2), Puls.(3)",4
148,"MIND - WEEPING, tearful mood, etc. - agg."," Ant-t.(1), Arn.(2), Bell.(2), Borx.(1), Canth.(1), Cham.(1), Croc.(2), Cupr.(2), Hep.(1), Lach.(1), Nit-ac.(1), Stann.(2), Teucr.(2), Verat.(2)",14
149,"MIND - WEEPING, tearful mood, etc. - admonitions, cause"," Bell.(1), Calc.(2), Chin.(1), Ign.(1), Kali-c.(2), Lyc.(2), Nat-m.(1), Nit-ac.(1), Plat.(1), Staph.(1)",10
150,"MIND - WEEPING, tearful mood, etc. - night"," Alum.(1), Am-c.(1), Anac.(1), Arn.(1), Ars.(1), Aur.(1), Bar-c.(1), Bell.(1), Borx.(2), Bry.(1), Calc.(1), Carb-an.(1), Caust.(1), Cham.(1), Chel.(1), Chin.(2), Chinin-s.(1), Cina(2), Con.(1), Hipp.(1), Hyos.(1), Ign.(1), Indg.(1), Ip.(1), Kali-ar.(1), Kali-c.(1), Kali-i.(1), Lac-c.(1), Lach.(2), Lyc.(1), Mag-c.(2), Merc.(1), Nat-m.(2), Nit-ac.(1), Nux-v.(2), Op.(1), Ph-ac.(1), Phos.(1), Phyt.(2), Psor.(2), Puls.(2), Rheum(1), Rhus-t.(1), Sil.(1), Spong.(1), Stann.(1), Stram.(2), Sulph.(1), Tab.(1), Tarent.(1), Thuja(1), Verat.(1)",52
151,"MIND - WEEPING, tearful mood, etc. - night - waking, on"," Chinin-s.(1), Sil.(1)",2
